,indicator,indicator-index,source,year,geography-level,value
62,Vitamin A Supplementation Coverage among children 6-59 months,SUN,MICS3,2006,XAYSOMBOUNE,
63,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,target-2020,75.0
64,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,target-2025,
65,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,NATIONAL,25.4
66,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,VIENTIANE CAPITAL,49.5
67,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,PHONGSALY,9.2
68,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,LUANGNAMTHA,47.1
69,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,OUDOMXAY,16.4
70,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,BOKEO,25.2
71,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,LUANGPRABANG,18.6
72,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,HUAPHANH,17.4
73,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,XAYABURY,16.6
74,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,XIENGKHUANG,35.8
75,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,VIENTIANE,42.5
76,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,BORIKHAMXAY,44.9
77,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,KHAMMUA,15.9
78,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,SAVANNAKHET,19.1
79,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,SARAVANE,18.5
80,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,SEKONG,8.3
81,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,CHAMPASACK,24.1
82,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,ATTAPEU,15.7
83,Iron/folate supplementation among prenant women,SUN,LSIS1,2012,XAYSOMBOUNE,
84,Household consumption of iodized salt,SUN,LSIS2,2017,target-2020,90.0
85,Household consumption of iodized salt,SUN,LSIS2,2017,target-2025,
86,Household consumption of iodized salt,SUN,LSIS2,2017,NATIONAL,93.6
87,Household consumption of iodized salt,SUN,LSIS2,2017,VIENTIANE CAPITAL,95.8
88,Household consumption of iodized salt,SUN,LSIS2,2017,PHONGSALY,99.6
89,Household consumption of iodized salt,SUN,LSIS2,2017,LUANGNAMTHA,99.8
90,Household consumption of iodized salt,SUN,LSIS2,2017,OUDOMXAY,99.2
91,Household consumption of iodized salt,SUN,LSIS2,2017,BOKEO,97.0
92,Household consumption of iodized salt,SUN,LSIS2,2017,LUANGPRABANG,96.8
93,Household consumption of iodized salt,SUN,LSIS2,2017,HUAPHANH,99.3
94,Household consumption of iodized salt,SUN,LSIS2,2017,XAYABURY,93.3
95,Household consumption of iodized salt,SUN,LSIS2,2017,XIENGKHUANG,93.0
96,Household consumption of iodized salt,SUN,LSIS2,2017,VIENTIANE,97.3
97,Household consumption of iodized salt,SUN,LSIS2,2017,BORIKHAMXAY,97.2
98,Household consumption of iodized salt,SUN,LSIS2,2017,KHAMMUA,90.6
99,Household consumption of iodized salt,SUN,LSIS2,2017,SAVANNAKHET,81.9
100,Household consumption of iodized salt,SUN,LSIS2,2017,SARAVANE,95.3
101,Household consumption of iodized salt,SUN,LSIS2,2017,SEKONG,92.6
102,Household consumption of iodized salt,SUN,LSIS2,2017,CHAMPASACK,90.6
103,Household consumption of iodized salt,SUN,LSIS2,2017,ATTAPEU,94.6
104,Household consumption of iodized salt,SUN,LSIS2,2017,XAYSOMBOUNE,96.6
105,Household consumption of iodized salt,SUN,LSIS1,2012,target-2020,90.0
106,Household consumption of iodized salt,SUN,LSIS1,2012,target-2025,
107,Household consumption of iodized salt,SUN,LSIS1,2012,NATIONAL,79.5
108,Household consumption of iodized salt,SUN,LSIS1,2012,VIENTIANE CAPITAL,89.2
109,Household consumption of iodized salt,SUN,LSIS1,2012,PHONGSALY,91.3
110,Household consumption of iodized salt,SUN,LSIS1,2012,LUANGNAMTHA,99.2
111,Household consumption of iodized salt,SUN,LSIS1,2012,OUDOMXAY,94.6
112,Household consumption of iodized salt,SUN,LSIS1,2012,BOKEO,87.2
113,Household consumption of iodized salt,SUN,LSIS1,2012,LUANGPRABANG,95.2
114,Household consumption of iodized salt,SUN,LSIS1,2012,HUAPHANH,21.9
115,Household consumption of iodized salt,SUN,LSIS1,2012,XAYABURY,88.3
116,Household consumption of iodized salt,SUN,LSIS1,2012,XIENGKHUANG,46.6
117,Household consumption of iodized salt,SUN,LSIS1,2012,VIENTIANE,76.3
118,Household consumption of iodized salt,SUN,LSIS1,2012,BORIKHAMXAY,93.4
119,Household consumption of iodized salt,SUN,LSIS1,2012,KHAMMUA,76.0
120,Household consumption of iodized salt,SUN,LSIS1,2012,SAVANNAKHET,79.4
121,Household consumption of iodized salt,SUN,LSIS1,2012,SARAVANE,83.1
122,Household consumption of iodized salt,SUN,LSIS1,2012,SEKONG,72.0
123,Household consumption of iodized salt,SUN,LSIS1,2012,CHAMPASACK,67.5
124,Household consumption of iodized salt,SUN,LSIS1,2012,ATTAPEU,81.0
125,Household consumption of iodized salt,SUN,LSIS1,2012,XAYSOMBOUNE,
126,Household consumption of iodized salt,SUN,MICS3,2006,target-2020,90.0
127,Household consumption of iodized salt,SUN,MICS3,2006,target-2025,
128,Household consumption of iodized salt,SUN,MICS3,2006,NATIONAL,83.8
129,Household consumption of iodized salt,SUN,MICS3,2006,VIENTIANE CAPITAL,
130,Household consumption of iodized salt,SUN,MICS3,2006,PHONGSALY,
131,Household consumption of iodized salt,SUN,MICS3,2006,LUANGNAMTHA,
132,Household consumption of iodized salt,SUN,MICS3,2006,OUDOMXAY,
133,Household consumption of iodized salt,SUN,MICS3,2006,BOKEO,
134,Household consumption of iodized salt,SUN,MICS3,2006,LUANGPRABANG,
135,Household consumption of iodized salt,SUN,MICS3,2006,HUAPHANH,
136,Household consumption of iodized salt,SUN,MICS3,2006,XAYABURY,
137,Household consumption of iodized salt,SUN,MICS3,2006,XIENGKHUANG,
138,Household consumption of iodized salt,SUN,MICS3,2006,VIENTIANE,
139,Household consumption of iodized salt,SUN,MICS3,2006,BORIKHAMXAY,
140,Household consumption of iodized salt,SUN,MICS3,2006,KHAMMUA,
141,Household consumption of iodized salt,SUN,MICS3,2006,SAVANNAKHET,
142,Household consumption of iodized salt,SUN,MICS3,2006,SARAVANE,
143,Household consumption of iodized salt,SUN,MICS3,2006,SEKONG,
144,Household consumption of iodized salt,SUN,MICS3,2006,CHAMPASACK,
145,Household consumption of iodized salt,SUN,MICS3,2006,ATTAPEU,
146,Household consumption of iodized salt,SUN,MICS3,2006,XAYSOMBOUNE,
147,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,target-2020,
148,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,target-2025,
149,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,NATIONAL,6.5
150,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,VIENTIANE CAPITAL,4.1
151,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,PHONGSALY,13.6
152,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,LUANGNAMTHA,9.6
153,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,OUDOMXAY,10.4
154,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,BOKEO,10.0
155,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,LUANGPRABANG,5.1
156,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,HUAPHANH,3.1
157,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,XAYABURY,3.4
158,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,XIENGKHUANG,8.7
159,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,VIENTIANE,8.7
160,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,BORIKHAMXAY,6.9
161,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,KHAMMUA,4.2
162,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,SAVANNAKHET,8.1
163,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,SARAVANE,3.4
164,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,SEKONG,10.2
165,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,CHAMPASACK,3.4
166,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,ATTAPEU,7.2
167,Prevalence of diahhoea in children under five years,SUN,LSIS2,2017,XAYSOMBOUNE,11.0
168,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,target-2020,
169,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,target-2025,
170,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,NATIONAL,10.0
171,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,VIENTIANE CAPITAL,5.3
172,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,PHONGSALY,16.0
173,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,LUANGNAMTHA,10.0
174,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,OUDOMXAY,16.8
175,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,BOKEO,23.8
176,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,LUANGPRABANG,17.7
177,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,HUAPHANH,12.1
178,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,XAYABURY,10.4
179,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,XIENGKHUANG,12.3
180,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,VIENTIANE,4.3
181,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,BORIKHAMXAY,6.9
182,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,KHAMMUA,6.5
183,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,SAVANNAKHET,8.9
184,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,SARAVANE,10.4
185,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,SEKONG,12.2
186,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,CHAMPASACK,6.0
187,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,ATTAPEU,1.0
188,Prevalence of diahhoea in children under five years,SUN,LSIS1,2012,XAYSOMBOUNE,
189,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,target-2020,
190,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,target-2025,
191,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,NATIONAL,12.4
192,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,VIENTIANE CAPITAL,
193,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,PHONGSALY,
194,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,LUANGNAMTHA,
195,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,OUDOMXAY,
196,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,BOKEO,
197,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,LUANGPRABANG,
198,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,HUAPHANH,
199,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,XAYABURY,
200,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,XIENGKHUANG,
201,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,VIENTIANE,
202,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,BORIKHAMXAY,
203,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,KHAMMUA,
204,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,SAVANNAKHET,
205,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,SARAVANE,
206,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,SEKONG,
207,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,CHAMPASACK,
208,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,ATTAPEU,
209,Prevalence of diahhoea in children under five years,SUN,MICS3,2006,XAYSOMBOUNE,
210,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,target-2020,
211,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,target-2025,
212,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,NATIONAL,6.1
213,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,VIENTIANE CAPITAL,
214,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,PHONGSALY,
215,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,LUANGNAMTHA,
216,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,OUDOMXAY,
217,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,BOKEO,
218,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,LUANGPRABANG,
219,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,HUAPHANH,
220,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,XAYABURY,
221,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,XIENGKHUANG,
222,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,VIENTIANE,
223,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,BORIKHAMXAY,
224,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,KHAMMUA,
225,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,SAVANNAKHET,
226,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,SARAVANE,
227,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,SEKONG,
228,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,CHAMPASACK,
229,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,ATTAPEU,
230,Prevalence of diahhoea in children under five years,SUN,MICS2,2000,XAYSOMBOUNE,
231,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,target-2020,
232,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,target-2025,
233,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,NATIONAL,7.3
234,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,VIENTIANE CAPITAL,
235,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,PHONGSALY,
236,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,LUANGNAMTHA,
237,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,OUDOMXAY,
238,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,BOKEO,
239,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,LUANGPRABANG,
240,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,HUAPHANH,
241,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,XAYABURY,
242,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,XIENGKHUANG,
243,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,VIENTIANE,
244,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,BORIKHAMXAY,
245,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,KHAMMUA,
246,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,SAVANNAKHET,
247,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,SARAVANE,
248,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,SEKONG,
249,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,CHAMPASACK,
250,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,ATTAPEU,
251,Prevalence of diahhoea in children under five years,SUN,MICS1,1997,XAYSOMBOUNE,
252,Household with improved sanitation facilities,SDG,LSIS2,2017,target-2020,
253,Household with improved sanitation facilities,SDG,LSIS2,2017,target-2025,
254,Household with improved sanitation facilities,SDG,LSIS2,2017,NATIONAL,73.8
255,Household with improved sanitation facilities,SDG,LSIS2,2017,VIENTIANE CAPITAL,98.5
256,Household with improved sanitation facilities,SDG,LSIS2,2017,PHONGSALY,52.6
257,Household with improved sanitation facilities,SDG,LSIS2,2017,LUANGNAMTHA,81.4
258,Household with improved sanitation facilities,SDG,LSIS2,2017,OUDOMXAY,72.1
259,Household with improved sanitation facilities,SDG,LSIS2,2017,BOKEO,79.1
260,Household with improved sanitation facilities,SDG,LSIS2,2017,LUANGPRABANG,70.9
261,Household with improved sanitation facilities,SDG,LSIS2,2017,HUAPHANH,75.2
262,Household with improved sanitation facilities,SDG,LSIS2,2017,XAYABURY,90.3
263,Household with improved sanitation facilities,SDG,LSIS2,2017,XIENGKHUANG,87.6
264,Household with improved sanitation facilities,SDG,LSIS2,2017,VIENTIANE,88.4
265,Household with improved sanitation facilities,SDG,LSIS2,2017,BORIKHAMXAY,92.7
266,Household with improved sanitation facilities,SDG,LSIS2,2017,KHAMMUA,67.7
267,Household with improved sanitation facilities,SDG,LSIS2,2017,SAVANNAKHET,55.6
268,Household with improved sanitation facilities,SDG,LSIS2,2017,SARAVANE,34.9
269,Household with improved sanitation facilities,SDG,LSIS2,2017,SEKONG,68.2
270,Household with improved sanitation facilities,SDG,LSIS2,2017,CHAMPASACK,72.0
271,Household with improved sanitation facilities,SDG,LSIS2,2017,ATTAPEU,63.9
272,Household with improved sanitation facilities,SDG,LSIS2,2017,XAYSOMBOUNE,74.9
273,Household with improved sanitation facilities,SDG,LSIS1,2012,target-2020,
274,Household with improved sanitation facilities,SDG,LSIS1,2012,target-2025,
275,Household with improved sanitation facilities,SDG,LSIS1,2012,NATIONAL,59.2
276,Household with improved sanitation facilities,SDG,LSIS1,2012,VIENTIANE CAPITAL,97.9
277,Household with improved sanitation facilities,SDG,LSIS1,2012,PHONGSALY,34.1
278,Household with improved sanitation facilities,SDG,LSIS1,2012,LUANGNAMTHA,67.3
279,Household with improved sanitation facilities,SDG,LSIS1,2012,OUDOMXAY,44.2
280,Household with improved sanitation facilities,SDG,LSIS1,2012,BOKEO,69.3
281,Household with improved sanitation facilities,SDG,LSIS1,2012,LUANGPRABANG,58.6
282,Household with improved sanitation facilities,SDG,LSIS1,2012,HUAPHANH,58.8
283,Household with improved sanitation facilities,SDG,LSIS1,2012,XAYABURY,89.7
284,Household with improved sanitation facilities,SDG,LSIS1,2012,XIENGKHUANG,54.1
285,Household with improved sanitation facilities,SDG,LSIS1,2012,VIENTIANE,88.2
286,Household with improved sanitation facilities,SDG,LSIS1,2012,BORIKHAMXAY,84.0
287,Household with improved sanitation facilities,SDG,LSIS1,2012,KHAMMUA,42.1
288,Household with improved sanitation facilities,SDG,LSIS1,2012,SAVANNAKHET,43.0
289,Household with improved sanitation facilities,SDG,LSIS1,2012,SARAVANE,22.3
290,Household with improved sanitation facilities,SDG,LSIS1,2012,SEKONG,37.7
291,Household with improved sanitation facilities,SDG,LSIS1,2012,CHAMPASACK,43.2
292,Household with improved sanitation facilities,SDG,LSIS1,2012,ATTAPEU,37.2
293,Household with improved sanitation facilities,SDG,LSIS1,2012,XAYSOMBOUNE,
294,Household with improved sanitation facilities,SDG,MICS3,2006,target-2020,
295,Household with improved sanitation facilities,SDG,MICS3,2006,target-2025,
296,Household with improved sanitation facilities,SDG,MICS3,2006,NATIONAL,44.8
297,Household with improved sanitation facilities,SDG,MICS3,2006,VIENTIANE CAPITAL,
298,Household with improved sanitation facilities,SDG,MICS3,2006,PHONGSALY,
299,Household with improved sanitation facilities,SDG,MICS3,2006,LUANGNAMTHA,
300,Household with improved sanitation facilities,SDG,MICS3,2006,OUDOMXAY,
301,Household with improved sanitation facilities,SDG,MICS3,2006,BOKEO,
302,Household with improved sanitation facilities,SDG,MICS3,2006,LUANGPRABANG,
303,Household with improved sanitation facilities,SDG,MICS3,2006,HUAPHANH,
304,Household with improved sanitation facilities,SDG,MICS3,2006,XAYABURY,
305,Household with improved sanitation facilities,SDG,MICS3,2006,XIENGKHUANG,
306,Household with improved sanitation facilities,SDG,MICS3,2006,VIENTIANE,
307,Household with improved sanitation facilities,SDG,MICS3,2006,BORIKHAMXAY,
308,Household with improved sanitation facilities,SDG,MICS3,2006,KHAMMUA,
309,Household with improved sanitation facilities,SDG,MICS3,2006,SAVANNAKHET,
310,Household with improved sanitation facilities,SDG,MICS3,2006,SARAVANE,
311,Household with improved sanitation facilities,SDG,MICS3,2006,SEKONG,
312,Household with improved sanitation facilities,SDG,MICS3,2006,CHAMPASACK,
313,Household with improved sanitation facilities,SDG,MICS3,2006,ATTAPEU,
314,Household with improved sanitation facilities,SDG,MICS3,2006,XAYSOMBOUNE,
315,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,target-2020,50.0
316,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,target-2025,60.0
317,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,NATIONAL,44.9
318,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,VIENTIANE CAPITAL,21.0
319,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,PHONGSALY,49.3
320,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,LUANGNAMTHA,66.7
321,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,OUDOMXAY,67.0
322,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,BOKEO,63.1
323,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,LUANGPRABANG,63.6
324,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,HUAPHANH,60.4
325,Exclusive breastfeeding (EBF) of infant < 6 months (%),SUN,LSIS2,2017,XAYABURY,65.9
